file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,27012019,1846,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x113575f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(226, 135)",16,7
"GP010016_fast.mp4_crab_(226, 135)",27,22
"GP010016_fast.mp4_crab_(226, 135)",30,22
"GP010016_fast.mp4_crab_(226, 135)",30,22
"GP010016_fast.mp4_crab_(226, 135)",30,22
"GP010016_fast.mp4_crab_(226, 135)",31,23
"GP010016_fast.mp4_crab_(226, 135)",23,10
"GP010016_fast.mp4_crab_(226, 135)",22,16
"GP010016_fast.mp4_crab_(226, 135)",31,20
"GP010016_fast.mp4_crab_(226, 135)",31,20
"GP010016_fast.mp4_crab_(226, 135)",16,11
"GP010016_fast.mp4_crab_(226, 135)",30,21
"GP010016_fast.mp4_crab_(226, 135)",30,21
"GP010016_fast.mp4_crab_(226, 135)",29,21
"GP010016_fast.mp4_crab_(226, 135)",12,10
"GP010016_fast.mp4_crab_(226, 135)",29,22
"GP010016_fast.mp4_crab_(226, 135)",29,22
"GP010016_fast.mp4_crab_(226, 135)",10,7
"GP010016_fast.mp4_crab_(226, 135)",8,8
"GP010016_fast.mp4_crab_(226, 135)",29,20
"GP010016_fast.mp4_crab_(226, 135)",27,19
"GP010016_fast.mp4_crab_(226, 135)",26,21
"GP010016_fast.mp4_crab_(226, 135)",26,21
"GP010016_fast.mp4_crab_(226, 135)",26,21
"GP010016_fast.mp4_crab_(226, 135)",27,19
