file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,21112018,2309,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1153d0f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(282, 293)",15,10
"GP010016_fast.mp4_crab_(282, 293)",28,17
"GP010016_fast.mp4_crab_(282, 293)",34,14
"GP010016_fast.mp4_crab_(282, 293)",13,18
"GP010016_fast.mp4_crab_(282, 293)",27,16
"GP010016_fast.mp4_crab_(282, 293)",20,8
"GP010016_fast.mp4_crab_(282, 293)",26,24
"GP010016_fast.mp4_crab_(282, 293)",33,27
"GP010016_fast.mp4_crab_(282, 293)",24,18
"GP010016_fast.mp4_crab_(282, 293)",31,18
"GP010016_fast.mp4_crab_(282, 293)",8,14
"GP010016_fast.mp4_crab_(282, 293)",31,25
"GP010016_fast.mp4_crab_(282, 293)",20,22
"GP010016_fast.mp4_crab_(282, 293)",34,22
"GP010016_fast.mp4_crab_(282, 293)",10,18
"GP010016_fast.mp4_crab_(282, 293)",19,15
"GP010016_fast.mp4_crab_(282, 293)",15,23
"GP010016_fast.mp4_crab_(282, 293)",13,24
"GP010016_fast.mp4_crab_(282, 293)",5,16
"GP010016_fast.mp4_crab_(282, 293)",8,14
"GP010016_fast.mp4_crab_(282, 293)",31,20
"GP010016_fast.mp4_crab_(282, 293)",30,26
"GP010016_fast.mp4_crab_(282, 293)",30,20
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",30,35
"GP010016_fast.mp4_crab_(282, 293)",19,21
"GP010016_fast.mp4_crab_(282, 293)",31,33
"GP010016_fast.mp4_crab_(282, 293)",30,18
"GP010016_fast.mp4_crab_(282, 293)",30,23
"GP010016_fast.mp4_crab_(282, 293)",32,29
"GP010016_fast.mp4_crab_(282, 293)",9,6
"GP010016_fast.mp4_crab_(282, 293)",33,23
"GP010016_fast.mp4_crab_(282, 293)",34,19
"GP010016_fast.mp4_crab_(282, 293)",35,34
"GP010016_fast.mp4_crab_(282, 293)",34,34
"GP010016_fast.mp4_crab_(282, 293)",37,32
"GP010016_fast.mp4_crab_(282, 293)",21,21
"GP010016_fast.mp4_crab_(282, 293)",27,13
"GP010016_fast.mp4_crab_(282, 293)",17,23
"GP010016_fast.mp4_crab_(282, 293)",17,30
"GP010016_fast.mp4_crab_(282, 293)",30,29
"GP010016_fast.mp4_crab_(282, 293)",22,10
"GP010016_fast.mp4_crab_(282, 293)",24,13
"GP010016_fast.mp4_crab_(282, 293)",36,36
"GP010016_fast.mp4_crab_(282, 293)",30,22
"GP010016_fast.mp4_crab_(282, 293)",33,25
