file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance
GP010016_fast.mp4,15112018,1349,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_(292, 205)","(270, 222)",224
"GP010016_fast.mp4_(292, 205)","(270, 222)",225
"GP010016_fast.mp4_(292, 205)","(271, 222)",226
"GP010016_fast.mp4_(292, 205)","(270, 222)",227
"GP010016_fast.mp4_(292, 205)","(270, 222)",228
"GP010016_fast.mp4_(292, 205)","(270, 222)",229
"GP010016_fast.mp4_(292, 205)","(270, 222)",230
"GP010016_fast.mp4_(292, 205)","(270, 222)",231
"GP010016_fast.mp4_(292, 205)","(270, 222)",232
"GP010016_fast.mp4_(292, 205)","(270, 222)",233
"GP010016_fast.mp4_(292, 205)","(270, 222)",234
"GP010016_fast.mp4_(292, 205)","(270, 222)",235
"GP010016_fast.mp4_(292, 205)","(270, 222)",236
"GP010016_fast.mp4_(292, 205)","(270, 222)",237
"GP010016_fast.mp4_(292, 205)","(270, 222)",238
"GP010016_fast.mp4_(292, 205)","(270, 222)",239
"GP010016_fast.mp4_(292, 205)","(270, 222)",240
"GP010016_fast.mp4_(292, 205)","(269, 222)",241
"GP010016_fast.mp4_(292, 205)","(269, 222)",242
"GP010016_fast.mp4_(292, 205)","(268, 222)",243
"GP010016_fast.mp4_(292, 205)","(268, 222)",244
"GP010016_fast.mp4_(292, 205)","(268, 221)",245
"GP010016_fast.mp4_(292, 205)","(268, 220)",246
"GP010016_fast.mp4_(292, 205)","(267, 220)",247
"GP010016_fast.mp4_(292, 205)","(267, 219)",248
"GP010016_fast.mp4_(292, 205)","(265, 220)",249
"GP010016_fast.mp4_(292, 205)","(265, 220)",250
"GP010016_fast.mp4_(292, 205)","(264, 220)",251
"GP010016_fast.mp4_(292, 205)","(264, 221)",252
"GP010016_fast.mp4_(292, 205)","(264, 221)",253
"GP010016_fast.mp4_(292, 205)","(264, 221)",254
"GP010016_fast.mp4_(292, 205)","(263, 221)",255
"GP010016_fast.mp4_(292, 205)","(263, 221)",256
"GP010016_fast.mp4_(292, 205)","(263, 221)",257
"GP010016_fast.mp4_(292, 205)","(263, 221)",258
"GP010016_fast.mp4_(292, 205)","(263, 221)",259
"GP010016_fast.mp4_(292, 205)","(263, 221)",260
"GP010016_fast.mp4_(292, 205)","(263, 221)",261
"GP010016_fast.mp4_(292, 205)","(263, 221)",262
"GP010016_fast.mp4_(292, 205)","(263, 221)",263
"GP010016_fast.mp4_(292, 205)","(263, 221)",264
"GP010016_fast.mp4_(292, 205)","(263, 221)",265
"GP010016_fast.mp4_(292, 205)","(262, 221)",266
