file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2338,1928,23.97602398,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.107758621,<TrackerMIL 0x10e996f30>
"
",,,,,,,,,,,,
Crab_ID,Crab_Position,Crab_frame,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(156, 317)",101,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 318)",102,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(158, 317)",103,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",104,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 319)",105,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 319)",106,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",107,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(166, 318)",108,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(166, 318)",109,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",110,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 316)",111,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 320)",112,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 319)",113,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 317)",114,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(169, 319)",115,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 318)",116,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 318)",117,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 320)",118,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(169, 319)",119,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(169, 317)",120,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 317)",121,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 313)",122,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 315)",123,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 316)",124,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(173, 319)",125,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 315)",126,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 314)",127,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 314)",128,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 313)",129,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 313)",130,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 315)",131,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(170, 313)",132,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(166, 314)",133,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(168, 313)",134,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 313)",135,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 314)",136,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 311)",137,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(166, 313)",138,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 311)",139,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 309)",140,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(166, 310)",141,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 311)",142,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(162, 310)",143,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 308)",144,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(161, 311)",145,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 307)",146,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(160, 309)",147,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 309)",148,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(158, 309)",149,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 308)",150,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(156, 307)",151,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(155, 307)",152,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 306)",153,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(155, 303)",154,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 305)",155,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 303)",156,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(150, 301)",157,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 303)",158,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(150, 300)",159,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(150, 299)",160,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(150, 296)",161,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(150, 296)",162,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 297)",163,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 300)",164,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(148, 296)",165,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 298)",166,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(148, 302)",167,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 298)",168,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 296)",169,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(149, 296)",170,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(144, 289)",171,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 290)",172,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 288)",173,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(127, 290)",174,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 288)",175,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 290)",176,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 291)",177,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 289)",178,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 288)",179,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 289)",180,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(123, 289)",181,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(123, 285)",182,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(138, 290)",183,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(124, 288)",184,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 287)",185,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 287)",186,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(124, 287)",187,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(124, 288)",188,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(124, 287)",189,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 286)",190,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 286)",191,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 287)",192,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 286)",193,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 287)",194,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(143, 286)",195,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 288)",196,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 288)",197,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 287)",198,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 287)",199,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(140, 286)",200,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 287)",201,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 287)",202,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(141, 287)",203,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(142, 288)",204,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(139, 279)",205,,,,,,,,,,
