file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1809,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1118fff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",216
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",217
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",218
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",219
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",220
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",221
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 23)",222
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 24)",223
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 25)",224
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 28)",225
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 25)",226
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 24)",227
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 24)",228
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",229
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",230
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",231
"GP010016_fast.mp4_uca_n00(382, 12)","(367, 26)",232
"GP010016_fast.mp4_uca_n00(382, 12)","(362, 25)",233
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 25)",234
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",235
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 25)",236
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 26)",237
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",238
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",239
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",240
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",241
"GP010016_fast.mp4_uca_n00(382, 12)","(367, 26)",242
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",243
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 26)",244
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",245
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",246
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",247
"GP010016_fast.mp4_uca_n00(382, 12)","(362, 21)",248
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",249
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",250
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",251
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 28)",252
"GP010016_fast.mp4_uca_n00(382, 12)","(360, 26)",253
"GP010016_fast.mp4_uca_n00(382, 12)","(363, 28)",254
"GP010016_fast.mp4_uca_n00(382, 12)","(360, 27)",255
"GP010016_fast.mp4_uca_n00(382, 12)","(358, 29)",256
"GP010016_fast.mp4_uca_n00(382, 12)","(361, 27)",257
"GP010016_fast.mp4_uca_n00(382, 12)","(361, 26)",258
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 26)",259
"GP010016_fast.mp4_uca_n00(382, 12)","(363, 28)",260
"GP010016_fast.mp4_uca_n00(382, 12)","(361, 25)",261
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 27)",262
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",263
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 29)",264
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",265
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 24)",266
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",267
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",268
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 29)",269
"GP010016_fast.mp4_uca_n00(382, 12)","(362, 26)",270
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 30)",271
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",272
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",273
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",274
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",275
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",276
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",277
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 31)",278
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",279
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",280
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",281
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",282
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",283
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 29)",284
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",285
