file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1836,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11a0fdf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lu01(369, 98)","(415, 171)",108
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 164)",109
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 166)",110
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 165)",111
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 164)",112
"GP010016_fast.mp4_uca_lu01(369, 98)","(415, 167)",113
"GP010016_fast.mp4_uca_lu01(369, 98)","(409, 166)",114
"GP010016_fast.mp4_uca_lu01(369, 98)","(408, 166)",115
"GP010016_fast.mp4_uca_lu01(369, 98)","(403, 166)",116
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",117
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 165)",118
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 170)",119
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 165)",120
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 170)",121
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 165)",122
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 164)",123
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",124
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 165)",125
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",126
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",127
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 164)",128
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",129
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 164)",130
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",131
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 161)",132
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 162)",133
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",134
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",135
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 163)",136
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 170)",137
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 170)",138
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 168)",139
"GP010016_fast.mp4_uca_lu01(369, 98)","(392, 166)",140
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 166)",141
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 164)",142
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 163)",143
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 163)",144
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 169)",145
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 163)",146
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 161)",147
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 159)",148
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 159)",149
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 163)",150
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 160)",151
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 163)",152
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 162)",153
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 165)",154
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 160)",155
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 158)",156
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 159)",157
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 159)",158
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 157)",159
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 159)",160
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 160)",161
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 163)",162
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 155)",163
"GP010016_fast.mp4_uca_lu01(369, 98)","(408, 159)",164
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 158)",165
"GP010016_fast.mp4_uca_lu01(369, 98)","(408, 159)",166
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 167)",167
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 159)",168
"GP010016_fast.mp4_uca_lu01(369, 98)","(433, 156)",169
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 157)",170
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 158)",171
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 155)",172
"GP010016_fast.mp4_uca_lu01(369, 98)","(443, 151)",173
"GP010016_fast.mp4_uca_lu01(369, 98)","(434, 157)",174
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 163)",175
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 155)",176
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 155)",177
"GP010016_fast.mp4_uca_lu01(369, 98)","(402, 155)",178
"GP010016_fast.mp4_uca_lu01(369, 98)","(412, 159)",179
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 161)",180
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 157)",181
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 158)",182
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 158)",183
"GP010016_fast.mp4_uca_lu01(369, 98)","(409, 154)",184
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 152)",185
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 162)",186
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 159)",187
"GP010016_fast.mp4_uca_lu01(369, 98)","(427, 156)",188
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 159)",189
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 155)",190
"GP010016_fast.mp4_uca_lu01(369, 98)","(425, 152)",191
"GP010016_fast.mp4_uca_lu01(369, 98)","(405, 159)",192
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 159)",193
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 163)",194
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 157)",195
"GP010016_fast.mp4_uca_lu01(369, 98)","(405, 155)",196
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 162)",197
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 160)",198
"GP010016_fast.mp4_uca_lu01(369, 98)","(395, 160)",199
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 159)",200
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 160)",201
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 158)",202
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 156)",203
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 162)",204
"GP010016_fast.mp4_uca_lu01(369, 98)","(400, 155)",205
"GP010016_fast.mp4_uca_lu01(369, 98)","(403, 156)",206
"GP010016_fast.mp4_uca_lu01(369, 98)","(423, 142)",207
"GP010016_fast.mp4_uca_lu01(369, 98)","(424, 138)",208
"GP010016_fast.mp4_uca_lu01(369, 98)","(429, 146)",209
"GP010016_fast.mp4_uca_lu01(369, 98)","(410, 155)",210
"GP010016_fast.mp4_uca_lu01(369, 98)","(404, 160)",211
"GP010016_fast.mp4_uca_lu01(369, 98)","(407, 160)",212
"GP010016_fast.mp4_uca_lu01(369, 98)","(407, 156)",213
"GP010016_fast.mp4_uca_lu01(369, 98)","(407, 155)",214
"GP010016_fast.mp4_uca_lu01(369, 98)","(426, 153)",215
"GP010016_fast.mp4_uca_lu01(369, 98)","(431, 130)",216
"GP010016_fast.mp4_uca_lu01(369, 98)","(440, 126)",217
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 133)",218
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 131)",219
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 126)",220
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 124)",221
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 124)",222
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 147)",223
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 123)",224
"GP010016_fast.mp4_uca_lu01(369, 98)","(428, 120)",225
"GP010016_fast.mp4_uca_lu01(369, 98)","(430, 119)",226
"GP010016_fast.mp4_uca_lu01(369, 98)","(424, 121)",227
"GP010016_fast.mp4_uca_lu01(369, 98)","(433, 134)",228
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 141)",229
"GP010016_fast.mp4_uca_lu01(369, 98)","(432, 133)",230
"GP010016_fast.mp4_uca_lu01(369, 98)","(429, 148)",231
"GP010016_fast.mp4_uca_lu01(369, 98)","(414, 146)",232
"GP010016_fast.mp4_uca_lu01(369, 98)","(424, 149)",233
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 146)",234
"GP010016_fast.mp4_uca_lu01(369, 98)","(413, 146)",235
"GP010016_fast.mp4_uca_lu01(369, 98)","(413, 158)",236
"GP010016_fast.mp4_uca_lu01(369, 98)","(411, 156)",237
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 153)",238
"GP010016_fast.mp4_uca_lu01(369, 98)","(424, 154)",239
"GP010016_fast.mp4_uca_lu01(369, 98)","(424, 154)",240
"GP010016_fast.mp4_uca_lu01(369, 98)","(405, 159)",241
"GP010016_fast.mp4_uca_lu01(369, 98)","(412, 163)",242
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 161)",243
"GP010016_fast.mp4_uca_lu01(369, 98)","(406, 161)",244
"GP010016_fast.mp4_uca_lu01(369, 98)","(403, 163)",245
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 162)",246
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 163)",247
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 166)",248
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 163)",249
"GP010016_fast.mp4_uca_lu01(369, 98)","(398, 166)",250
"GP010016_fast.mp4_uca_lu01(369, 98)","(409, 165)",251
"GP010016_fast.mp4_uca_lu01(369, 98)","(409, 166)",252
"GP010016_fast.mp4_uca_lu01(369, 98)","(405, 166)",253
"GP010016_fast.mp4_uca_lu01(369, 98)","(405, 164)",254
"GP010016_fast.mp4_uca_lu01(369, 98)","(402, 164)",255
"GP010016_fast.mp4_uca_lu01(369, 98)","(401, 166)",256
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",257
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 165)",258
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 180)",259
"GP010016_fast.mp4_uca_lu01(369, 98)","(420, 180)",260
"GP010016_fast.mp4_uca_lu01(369, 98)","(420, 180)",261
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 177)",262
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 180)",263
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 180)",264
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 180)",265
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 177)",266
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 180)",267
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 180)",268
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 179)",269
"GP010016_fast.mp4_uca_lu01(369, 98)","(420, 180)",270
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 180)",271
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 180)",272
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 180)",273
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 180)",274
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 178)",275
"GP010016_fast.mp4_uca_lu01(369, 98)","(417, 178)",276
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 180)",277
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 180)",278
"GP010016_fast.mp4_uca_lu01(369, 98)","(416, 178)",279
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 180)",280
"GP010016_fast.mp4_uca_lu01(369, 98)","(418, 180)",281
"GP010016_fast.mp4_uca_lu01(369, 98)","(419, 180)",282
"GP010016_fast.mp4_uca_lu01(369, 98)","(399, 168)",283
"GP010016_fast.mp4_uca_lu01(369, 98)","(397, 165)",284
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 162)",285
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",286
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 163)",287
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 165)",288
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 164)",289
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 162)",290
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 162)",291
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 162)",292
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 165)",293
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 162)",294
"GP010016_fast.mp4_uca_lu01(369, 98)","(393, 167)",295
"GP010016_fast.mp4_uca_lu01(369, 98)","(394, 163)",296
"GP010016_fast.mp4_uca_lu01(369, 98)","(396, 165)",297
