file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1824,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f158f30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",247
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",248
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 360)",249
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",250
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",251
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",252
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 361)",253
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 362)",254
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 363)",255
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 362)",256
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",257
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 363)",258
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",259
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",260
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",261
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",262
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",263
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",264
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 361)",265
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",266
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",267
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",268
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",269
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",270
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",271
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",272
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 361)",273
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 361)",274
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",275
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",276
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 361)",277
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",278
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 361)",279
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",280
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 362)",281
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 361)",282
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",283
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 363)",284
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 364)",285
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",286
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",287
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",288
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 360)",289
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 363)",290
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 361)",291
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",292
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 362)",293
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 366)",294
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 360)",295
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 363)",296
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 362)",297
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 357)",298
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 358)",299
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 362)",300
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 358)",301
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 357)",302
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 355)",303
"GP010016_fast.mp4_uca_lm01(446, 249)","(444, 355)",304
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 357)",305
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 361)",306
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 359)",307
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 357)",308
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 353)",309
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 353)",310
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 354)",311
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 354)",312
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 353)",313
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 354)",314
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 354)",315
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 354)",316
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 356)",317
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 353)",318
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 351)",319
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 354)",320
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 352)",321
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 351)",322
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 350)",323
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 352)",324
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 349)",325
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 351)",326
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 351)",327
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 350)",328
