file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1811,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f93bf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",160
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 112)",161
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 111)",162
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",163
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 111)",164
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 111)",165
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",166
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",167
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",168
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",169
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",170
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",171
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",172
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 111)",173
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 111)",174
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",175
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 111)",176
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 111)",177
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",178
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",179
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 111)",180
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 111)",181
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",182
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",183
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",184
"GP010016_fast.mp4_uca_nc00(225, 133)","(189, 110)",185
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",186
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",187
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 112)",188
"GP010016_fast.mp4_uca_nc00(225, 133)","(190, 109)",189
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",190
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",191
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",192
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",193
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",194
"GP010016_fast.mp4_uca_nc00(225, 133)","(193, 106)",195
"GP010016_fast.mp4_uca_nc00(225, 133)","(191, 109)",196
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 109)",197
"GP010016_fast.mp4_uca_nc00(225, 133)","(191, 110)",198
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",199
"GP010016_fast.mp4_uca_nc00(225, 133)","(191, 106)",200
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 104)",201
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 102)",202
"GP010016_fast.mp4_uca_nc00(225, 133)","(192, 108)",203
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 103)",204
