file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1806,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110d6af30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",153
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",154
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",155
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",156
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 43)",157
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 45)",158
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",159
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 43)",160
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 43)",161
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 43)",162
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",163
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",164
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",165
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",166
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",167
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 43)",168
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 43)",169
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",170
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 43)",171
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 44)",172
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 42)",173
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 42)",174
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 41)",175
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 41)",176
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 40)",177
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 40)",178
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 40)",179
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 39)",180
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 39)",181
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 36)",182
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 36)",183
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 38)",184
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 34)",185
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 34)",186
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 35)",187
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 35)",188
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 34)",189
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 32)",190
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 33)",191
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 34)",192
"GP010016_fast.mp4_uca_nw01(52, 85)","(70, 34)",193
