file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",159
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",160
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 217)",161
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 217)",162
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 217)",163
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 217)",164
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 219)",165
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 219)",166
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 218)",167
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 218)",168
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 219)",169
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",170
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",171
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 220)",172
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 219)",173
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",174
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",175
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",176
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",177
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",178
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",179
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",180
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",181
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",182
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",183
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",184
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",185
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",186
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",187
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",188
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",189
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",190
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",191
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",192
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",193
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",194
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 221)",195
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",196
"GP010016_fast.mp4_uca_cc01(291, 205)","(268, 221)",197
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",198
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",199
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",200
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 219)",201
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 220)",202
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",203
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 221)",204
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 220)",205
