file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2356,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110f5ff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 351)",237
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 353)",238
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 350)",239
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 350)",240
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 354)",241
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 350)",242
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 350)",243
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 351)",244
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 350)",245
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 352)",246
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 349)",247
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 348)",248
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 350)",249
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 340)",250
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 347)",251
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 348)",252
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 349)",253
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 346)",254
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 350)",255
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 346)",256
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 348)",257
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 345)",258
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 345)",259
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 346)",260
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 345)",261
